with batch_size = 20, n_epochs = 30, numb of images in th etrain set = 60000

Epoch: 1, Batch: 1000, Avg. Loss: 2.298096601009369
Epoch: 1, Batch: 2000, Avg. Loss: 2.287203151702881
Epoch: 1, Batch: 3000, Avg. Loss: 2.268990473508835
Epoch: 2, Batch: 1000, Avg. Loss: 2.2114332147836686
Epoch: 2, Batch: 2000, Avg. Loss: 2.054660095691681
Epoch: 2, Batch: 3000, Avg. Loss: 1.78051910507679
Epoch: 3, Batch: 1000, Avg. Loss: 1.6323968972563743
Epoch: 3, Batch: 2000, Avg. Loss: 1.560243155837059
Epoch: 3, Batch: 3000, Avg. Loss: 1.5188880960345268
Epoch: 4, Batch: 1000, Avg. Loss: 1.4845295811891557
Epoch: 4, Batch: 2000, Avg. Loss: 1.4535381299853325
Epoch: 4, Batch: 3000, Avg. Loss: 1.4376549088358879
Epoch: 5, Batch: 1000, Avg. Loss: 1.4141114494800568
Epoch: 5, Batch: 2000, Avg. Loss: 1.2691159132122993
Epoch: 5, Batch: 3000, Avg. Loss: 1.2439832902550698
Epoch: 6, Batch: 1000, Avg. Loss: 1.2385110465288163
Epoch: 6, Batch: 2000, Avg. Loss: 1.2099772706627845
Epoch: 6, Batch: 3000, Avg. Loss: 1.197054351747036
Epoch: 7, Batch: 1000, Avg. Loss: 1.0135580945909024
Epoch: 7, Batch: 2000, Avg. Loss: 0.9908435209095479
Epoch: 7, Batch: 3000, Avg. Loss: 0.9484835376143456
Epoch: 8, Batch: 1000, Avg. Loss: 0.8627179451435805
Epoch: 8, Batch: 2000, Avg. Loss: 0.8586974282562733
Epoch: 8, Batch: 3000, Avg. Loss: 0.8295940082371235
Epoch: 9, Batch: 1000, Avg. Loss: 0.8246852824687958
Epoch: 9, Batch: 2000, Avg. Loss: 0.8018026853203774
Epoch: 9, Batch: 3000, Avg. Loss: 0.8020991810709238
Epoch: 10, Batch: 1000, Avg. Loss: 0.8035078278928995
Epoch: 10, Batch: 2000, Avg. Loss: 0.7809948337823153
Epoch: 10, Batch: 3000, Avg. Loss: 0.7680259478837251
Epoch: 11, Batch: 1000, Avg. Loss: 0.7752459330260754
Epoch: 11, Batch: 2000, Avg. Loss: 0.7500605475008487
Epoch: 11, Batch: 3000, Avg. Loss: 0.7696775670796633
Epoch: 12, Batch: 1000, Avg. Loss: 0.7521313885301352
Epoch: 12, Batch: 2000, Avg. Loss: 0.7498496025800705
Epoch: 12, Batch: 3000, Avg. Loss: 0.7441436558291316
Epoch: 13, Batch: 1000, Avg. Loss: 0.7457227093726396
Epoch: 13, Batch: 2000, Avg. Loss: 0.7335296038389206
Epoch: 13, Batch: 3000, Avg. Loss: 0.7277544789910316
Epoch: 14, Batch: 1000, Avg. Loss: 0.729161253914237
Epoch: 14, Batch: 2000, Avg. Loss: 0.7164511142522096
Epoch: 14, Batch: 3000, Avg. Loss: 0.7267609329372644
Epoch: 15, Batch: 1000, Avg. Loss: 0.7139004274904728
Epoch: 15, Batch: 2000, Avg. Loss: 0.7172689538896084
Epoch: 15, Batch: 3000, Avg. Loss: 0.7129631245359779
Epoch: 16, Batch: 1000, Avg. Loss: 0.693866747379303
Epoch: 16, Batch: 2000, Avg. Loss: 0.7097702480554581
Epoch: 16, Batch: 3000, Avg. Loss: 0.7142269147634506
Epoch: 17, Batch: 1000, Avg. Loss: 0.6942741610333324
Epoch: 17, Batch: 2000, Avg. Loss: 0.7061448464244604
Epoch: 17, Batch: 3000, Avg. Loss: 0.6932447454482317
Epoch: 18, Batch: 1000, Avg. Loss: 0.6932259606868029
Epoch: 18, Batch: 2000, Avg. Loss: 0.6963408515751361
Epoch: 18, Batch: 3000, Avg. Loss: 0.6815179593469948
Epoch: 19, Batch: 1000, Avg. Loss: 0.6800592261776328
Epoch: 19, Batch: 2000, Avg. Loss: 0.6817385551333427
Epoch: 19, Batch: 3000, Avg. Loss: 0.6894085497707129
Epoch: 20, Batch: 1000, Avg. Loss: 0.6804090520441533
Epoch: 20, Batch: 2000, Avg. Loss: 0.6808351418077946
Epoch: 20, Batch: 3000, Avg. Loss: 0.6728989980816841
Epoch: 21, Batch: 1000, Avg. Loss: 0.6764006648436188
Epoch: 21, Batch: 2000, Avg. Loss: 0.6689054379165172
Epoch: 21, Batch: 3000, Avg. Loss: 0.6749841339737177
Epoch: 22, Batch: 1000, Avg. Loss: 0.6700538904666901
Epoch: 22, Batch: 2000, Avg. Loss: 0.6739897419065237
